Rating,Review,Name
5,A real hidden gem! Best boat storage I have ever used. Will definitely be back.,Adonis Atwood
5,"Highly recommended. Friendly people, secure site, and excellent value for money. Five stars!",Mark Copeland
5,"Awesome place, awesome people, and brilliant service from start to finish.Top-tier boat yard.",Jeremy Gleeson
5,Relaxed atmosphere but professional security. Can't fault it.,Ava Davenport
5,"Awesome people and great vibes. A real hidden gem with a fantastic, relaxed social environment.",Marcus Haney
5,"Paul is a legend. Straight-up guy, incredibly helpful, and runs a tight ship. Great place.",Isabella McAllister
5,"Fantastic community feel. Met some great fellow boaties here. Relaxed, friendly, and helpful atmosphere.",Bryce Atkinson
5,Great crowd and classic boats. I loved the social environment and the helpful advice from others around the yard.,Kaleb O'Callaghan
5,Safe and sound! Left my boat here while away and knew it was in completely secure hands.,Andres Comiskey
5,"Top-notch storage.Best boat storage around. Secure yard, great peace of mind, and excellent service from Paul. I highly recommend it.",Matias Geraghty
5,Kept my boat safe. I felt totally at ease storing my boat here.A highly reliable and secure spot.,Colt Coveney
5,Super secure yard. Perfect peace of mind while away. Wouldn't trust my boat anywhere else.,Kyrie Hutchings
5,"Great setup, plenty of space, and a fantastic environment to get work done.The ultimate DIY boat yard.",Arlo Ferguson
5,"Straight-up management, good facilities, and plenty of space. 5 stars.",Amari Houston
5,Great spot for boat projects. Everything you need for a DIY haul-out. Highly practical yard.,Lukas Dunphy
