date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:04:41	130/130	---MCZ	200	added ('OK')	text/plain	date:Tue,%2001%20Sep%202026%2001:04:41%20GMT	https://westaucklandstorage.co.nz/robots.txt		(from )
13:04:41	169259/169259	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202026%2000:55:35%20GMT	https://westaucklandstorage.co.nz/	C:/Users/isaac/My%20Drive/Downloads/west-auckland-storeage/westaucklandstorage.co.nz/index.html	(from )
13:04:42	5842/5842	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202026%2001:04:42%20GMT	https://gmpg.org/xfn/11	C:/Users/isaac/My%20Drive/Downloads/west-auckland-storeage/gmpg.org/xfn/11.html	(from https://westaucklandstorage.co.nz/)
13:04:42	2168/2168	---MCZ	200	added ('OK')	application/json	date:Tue,%2001%20Sep%202026%2001:04:42%20GMT	https://westaucklandstorage.co.nz/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwestaucklandstorage.co.nz%2F	C:/Users/isaac/My%20Drive/Downloads/west-auckland-storeage/westaucklandstorage.co.nz/wp-json/oembed/1.0/embedf5d1.json	(from https://westaucklandstorage.co.nz/)
13:04:42	2322/2322	---MCZ	200	added ('OK')	text/xml	date:Tue,%2001%20Sep%202026%2001:04:42%20GMT	https://westaucklandstorage.co.nz/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwestaucklandstorage.co.nz%2F&format=xml	C:/Users/isaac/My%20Drive/Downloads/west-auckland-storeage/westaucklandstorage.co.nz/wp-json/oembed/1.0/embedba8e	(from https://westaucklandstorage.co.nz/)
13:04:42	43154/43154	---MCZ	200	added ('OK')	text/css	etag:W/%2267118b46-a892%22	https://westaucklandstorage.co.nz/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.8.3	C:/Users/isaac/My%20Drive/Downloads/west-auckland-storeage/westaucklandstorage.co.nz/wp-content/themes/astra/assets/css/minified/main.min7bcd.css	(from https://westaucklandstorage.co.nz/)
13:04:43	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2001%20Sep%202026%2001:04:43%20GMT	http://fonts.googleapis.com/	C:/Users/isaac/My%20Drive/Downloads/west-auckland-storeage/fonts.googleapis.com/index.html	(from https://westaucklandstorage.co.nz/)
13:04:43	930/930	---MC-	200	added ('OK')	text/css	date:Tue,%2001%20Sep%202026%2001:04:43%20GMT	https://fonts.googleapis.com/css?family=Inter:400%2C700%2C500|Outfit:500&display=fallback&ver=4.8.3	C:/Users/isaac/My%20Drive/Downloads/west-auckland-storeage/fonts.googleapis.com/css8353.css	(from https://westaucklandstorage.co.nz/)
13:04:43	335/335	---MCZ	200	added ('OK')	text/css	etag:W/%2267118766-14f%22	https://westaucklandstorage.co.nz/wp-content/plugins/ultimate-addons-for-gutenberg/assets/css/spectra-block-positioning.min.css?ver=2.16.1	C:/Users/isaac/My%20Drive/Downloads/west-auckland-storeage/westaucklandstorage.co.nz/wp-content/plugins/ultimate-addons-for-gutenberg/assets/css/spectra-block-positioning.min12d7.css	(from https://westaucklandstorage.co.nz/)
13:04:43	16471/16471	---MCZ	200	added ('OK')	text/css	etag:W/%2267118766-4057%22	https://westaucklandstorage.co.nz/wp-content/plugins/ultimate-addons-for-gutenberg/assets/css/swiper-bundle.min.css?ver=2.16.1	C:/Users/isaac/My%20Drive/Downloads/west-auckland-storeage/westaucklandstorage.co.nz/wp-content/plugins/ultimate-addons-for-gutenberg/assets/css/swiper-bundle.min12d7.css	(from https://westaucklandstorage.co.nz/)
13:04:43	36314/36314	---MC-	200	added ('OK')	application/rss+xml	etag:%221a3498f3a0c0b5b04763a189a699084e%22	https://westaucklandstorage.co.nz/feed/	C:/Users/isaac/My%20Drive/Downloads/west-auckland-storeage/westaucklandstorage.co.nz/feed/index.html	(from https://westaucklandstorage.co.nz/)
13:04:43	274813/274813	---MCZ	200	added ('OK')	text/css	etag:W/%226a962287-4317d%22	https://westaucklandstorage.co.nz/wp-content/uploads/uag-plugin/assets/0/uag-css-23.css?ver=1788223945	C:/Users/isaac/My%20Drive/Downloads/west-auckland-storeage/westaucklandstorage.co.nz/wp-content/uploads/uag-plugin/assets/0/uag-css-230abe.css	(from https://westaucklandstorage.co.nz/)
13:04:44	1356/1356	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267116cb7-54c%22	https://westaucklandstorage.co.nz/wp-content/plugins/breeze/assets/js/js-front-end/breeze-prefetch-links.min.js?ver=2.1.15	C:/Users/isaac/My%20Drive/Downloads/west-auckland-storeage/westaucklandstorage.co.nz/wp-content/plugins/breeze/assets/js/js-front-end/breeze-prefetch-links.min202b.js	(from https://westaucklandstorage.co.nz/)
13:04:44	815/815	---MC-	200	added ('OK')	application/rss+xml	etag:%221a3498f3a0c0b5b04763a189a699084e%22	https://westaucklandstorage.co.nz/comments/feed/	C:/Users/isaac/My%20Drive/Downloads/west-auckland-storeage/westaucklandstorage.co.nz/comments/feed/index.html	(from https://westaucklandstorage.co.nz/)
13:04:44	80058/80058	---MCZ	200	added ('OK')	application/json	date:Tue,%2001%20Sep%202026%2001:04:44%20GMT	https://westaucklandstorage.co.nz/wp-json/wp/v2/pages/23	C:/Users/isaac/My%20Drive/Downloads/west-auckland-storeage/westaucklandstorage.co.nz/wp-json/wp/v2/pages/23.json	(from https://westaucklandstorage.co.nz/)
13:04:45	394216/394216	---MCZ	200	added ('OK')	application/json	date:Tue,%2001%20Sep%202026%2001:04:45%20GMT	https://westaucklandstorage.co.nz/wp-json/	C:/Users/isaac/My%20Drive/Downloads/west-auckland-storeage/westaucklandstorage.co.nz/wp-json/index.html	(from https://westaucklandstorage.co.nz/)
13:04:45	1286/1286	---M--	200	added ('OK')	image/png	etag:%2267132c18-506%22	https://westaucklandstorage.co.nz/wp-content/uploads/2024/10/cropped-chrome_iBSiF53fFE-e1729309681662-32x32.png	C:/Users/isaac/My%20Drive/Downloads/west-auckland-storeage/westaucklandstorage.co.nz/wp-content/uploads/2024/10/cropped-chrome_iBSiF53fFE-e1729309681662-32x32.png	(from https://westaucklandstorage.co.nz/)
13:04:45	19888/19888	---M--	200	added ('OK')	image/png	etag:%2267132c18-4db0%22	https://westaucklandstorage.co.nz/wp-content/uploads/2024/10/cropped-chrome_iBSiF53fFE-e1729309681662-192x192.png	C:/Users/isaac/My%20Drive/Downloads/west-auckland-storeage/westaucklandstorage.co.nz/wp-content/uploads/2024/10/cropped-chrome_iBSiF53fFE-e1729309681662-192x192.png	(from https://westaucklandstorage.co.nz/)
13:04:45	18078/18078	---M--	200	added ('OK')	image/png	etag:%2267132c18-469e%22	https://westaucklandstorage.co.nz/wp-content/uploads/2024/10/cropped-chrome_iBSiF53fFE-e1729309681662-180x180.png	C:/Users/isaac/My%20Drive/Downloads/west-auckland-storeage/westaucklandstorage.co.nz/wp-content/uploads/2024/10/cropped-chrome_iBSiF53fFE-e1729309681662-180x180.png	(from https://westaucklandstorage.co.nz/)
13:04:45	19157/19157	---MCZ	200	added ('OK')	text/css	etag:W/%22671706a3-4ad5%22	https://westaucklandstorage.co.nz/wp-content/plugins/fluentformpro/public/libs/intl-tel-input/css/intlTelInput.min.css?ver=18.1.1	C:/Users/isaac/My%20Drive/Downloads/west-auckland-storeage/westaucklandstorage.co.nz/wp-content/plugins/fluentformpro/public/libs/intl-tel-input/css/intlTelInput.minfcad.css	(from https://westaucklandstorage.co.nz/)
13:04:46	100972/100972	---MCZ	200	added ('OK')	text/css	etag:W/%226713098b-18a6c%22	https://westaucklandstorage.co.nz/wp-content/plugins/fluentform/app/Services/FluentConversational/public/css/conversationalForm.css?ver=5.2.4	C:/Users/isaac/My%20Drive/Downloads/west-auckland-storeage/westaucklandstorage.co.nz/wp-content/plugins/fluentform/app/Services/FluentConversational/public/css/conversationalForm4d2c.css	(from https://westaucklandstorage.co.nz/)
